"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C3,C4,C5,C6,C12,C13,C14,C15,C16,C17,C18,C19,C20","13","0.1 uf","","","","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm",""
"C7","1","100 pf","","","","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm",""
"C10,C11","2","220 uf","","","","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm",""
"J1","1","ESP32-S3","","","","Connector_PinSocket_2.54mm:PinSocket_1x22_P2.54mm_Vertical",""
"J2","1","Balance Lead","","","","Connector_PinSocket_2.54mm:PinSocket_1x01_P2.54mm_Vertical",""
"J3","1","Conn_01x08","","","","Connector_PinSocket_2.54mm:PinSocket_1x08_P2.54mm_Vertical",""
"J4","1","LORA","","","","Connector_PinSocket_2.54mm:PinSocket_1x08_P2.54mm_Vertical",""
"J5","1","Gyro","","","","Connector_PinSocket_2.54mm:PinSocket_1x08_P2.54mm_Vertical",""
"J6","1","Voltage Regulator","","","","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical",""
"J7","1","Barometer","","","","Connector_PinSocket_2.54mm:PinSocket_1x04_P2.54mm_Vertical",""
"J8","1","GPS","","","","Connector_PinSocket_2.54mm:PinSocket_1x06_P2.54mm_Vertical",""
"J9","1","ESC","","","","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical",""
"J10,J11,J12,J13,J14,J15,J16","7","Servo","","","","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical",""
"J17","1","Esp32-s3","","","","Connector_PinSocket_2.54mm:PinSocket_1x22_P2.54mm_Vertical",""
"R1","1","33k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"R2","1","10k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
